                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.57551,                0.41425,                0.87751,                0.65942,                0.61446,                 0.6153,                0.41064,                  1.151,                 1.6675,                 1.0962,              0.0004085,              0.0004085,              0.0004085
                     71,                0.58175,                0.42548,                0.87961,                 0.7004,                0.57559,                0.60214,                0.40111,                 1.1477,                 1.6221,                 1.1019,             0.00039613,             0.00039613,             0.00039613
                     72,                0.56816,                0.41023,                0.87369,                0.67133,                0.62585,                0.62341,                0.41631,                 1.1414,                  1.578,                 1.0916,             0.00038375,             0.00038375,             0.00038375
                     73,                0.57162,                0.41965,                 0.8779,                0.67682,                0.60931,                0.60914,                0.40752,                  1.146,                 1.6246,                  1.096,             0.00037138,             0.00037138,             0.00037138
                     74,                0.55944,                0.41705,                0.87467,                0.77075,                0.52306,                 0.5881,                 0.3916,                 1.1493,                 1.7574,                 1.0941,               0.000359,               0.000359,               0.000359
                     75,                0.56101,                0.41343,                0.87697,                0.66601,                0.61206,                0.61843,                0.41297,                 1.1635,                 1.6657,                 1.1011,             0.00034663,             0.00034663,             0.00034663
                     76,                0.56241,                0.42912,                0.88053,                0.69732,                0.58626,                0.60215,                0.39868,                 1.1636,                 1.6454,                 1.1054,             0.00033425,             0.00033425,             0.00033425
                     77,                0.54851,                0.40569,                0.86814,                0.67575,                0.58939,                 0.6096,                0.40721,                  1.158,                 1.6529,                    1.1,             0.00032188,             0.00032188,             0.00032188
                     78,                0.54474,                0.40732,                0.87768,                0.63773,                0.59187,                0.59485,                0.40201,                 1.1539,                 1.6938,                 1.1037,              0.0003095,              0.0003095,              0.0003095
                     79,                0.55422,                0.41106,                0.87565,                0.72314,                0.55802,                0.60558,                0.40728,                 1.1495,                 1.6422,                  1.105,             0.00029713,             0.00029713,             0.00029713
                     80,                0.52401,                0.39511,                0.86688,                0.65965,                0.59641,                0.60955,                0.40868,                 1.1489,                  1.687,                 1.1007,             0.00028475,             0.00028475,             0.00028475
                     81,                0.52515,                0.39881,                0.86488,                0.74304,                0.54851,                  0.604,                0.40454,                 1.1484,                 1.7153,                 1.0999,             0.00027237,             0.00027237,             0.00027237
                     82,                0.51714,                0.38725,                0.86456,                0.67625,                0.59953,                0.60963,                0.40925,                 1.1491,                 1.7382,                 1.1022,                0.00026,                0.00026,                0.00026
                     83,                0.52115,                0.38812,                0.86562,                0.68465,                0.59483,                0.61056,                0.40693,                 1.1467,                 1.7424,                  1.103,             0.00024762,             0.00024762,             0.00024762
                     84,                0.51011,                0.38044,                0.86315,                0.66457,                0.58182,                0.59654,                0.40227,                 1.1479,                 1.7538,                 1.1071,             0.00023525,             0.00023525,             0.00023525
                     85,                 0.5109,                0.38414,                0.86446,                0.68654,                0.56621,                0.60685,                0.41293,                  1.137,                 1.7142,                 1.0974,             0.00022288,             0.00022288,             0.00022288
                     86,                0.49969,                0.37102,                0.85964,                0.70705,                0.57121,                 0.6161,                0.41339,                 1.1456,                 1.6679,                 1.1052,              0.0002105,              0.0002105,              0.0002105
                     87,                0.49184,                0.37364,                0.85652,                0.69035,                0.57119,                0.60303,                0.40986,                  1.145,                 1.6958,                 1.1076,             0.00019813,             0.00019813,             0.00019813
                     88,                0.49087,                0.37113,                0.85769,                0.67417,                0.56099,                0.59855,                0.40934,                   1.15,                 1.7426,                  1.109,             0.00018575,             0.00018575,             0.00018575
                     89,                0.49291,                0.37564,                0.85963,                0.68595,                0.57311,                0.60461,                0.41307,                 1.1454,                  1.705,                 1.1068,             0.00017338,             0.00017338,             0.00017338
                     90,                 0.4804,                0.36388,                0.85685,                0.65379,                0.57202,                 0.5893,                0.39843,                 1.1506,                 1.7221,                 1.1102,               0.000161,               0.000161,               0.000161
                     91,                0.46293,                0.32636,                0.84024,                0.68773,                0.57132,                0.59638,                0.40253,                 1.1536,                 1.7624,                 1.1184,             0.00014862,             0.00014862,             0.00014862
                     92,                  0.446,                0.31906,                 0.8368,                 0.6685,                0.57989,                0.58858,                0.39529,                   1.15,                  1.732,                 1.1154,             0.00013625,             0.00013625,             0.00013625
                     93,                0.42694,                0.30701,                0.83433,                0.66528,                  0.598,                0.60981,                0.41454,                 1.1434,                 1.6946,                 1.1115,             0.00012387,             0.00012387,             0.00012387
                     94,                 0.4251,                0.30916,                 0.8296,                0.70347,                0.58015,                0.61836,                0.42252,                 1.1373,                 1.6589,                 1.1082,              0.0001115,              0.0001115,              0.0001115
                     95,                0.41857,                 0.3017,                0.82762,                0.73388,                0.56911,                0.61707,                 0.4207,                 1.1488,                 1.6753,                  1.115,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.41454,                0.29847,                0.82806,                0.70709,                0.59176,                0.61833,                0.42082,                 1.1481,                 1.6684,                 1.1146,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.40662,                0.29129,                0.82609,                0.71052,                0.57498,                0.61551,                0.42286,                 1.1489,                 1.6434,                 1.1138,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.39696,                0.28978,                0.81947,                0.68406,                0.59311,                0.61546,                0.42325,                 1.1462,                 1.6675,                 1.1146,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.39654,                0.28946,                0.82484,                0.66253,                 0.6201,                 0.6251,                0.42832,                 1.1386,                 1.6386,                 1.1103,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.38995,                0.28396,                 0.8233,                0.69509,                0.59679,                0.61943,                0.42617,                 1.1389,                  1.656,                 1.1081,              3.725e-05,              3.725e-05,              3.725e-05
